date,Boroughname,Sumcrimes,population,sumcrimesperpop
2019-03,Barking and Dagenham,1712,218367,0.007840012
2019-04,Barking and Dagenham,1681,218367,0.00769805
2019-05,Barking and Dagenham,1824,218367,0.00835291
2019-06,Barking and Dagenham,1687,218367,0.007725526
2019-07,Barking and Dagenham,1823,218367,0.008348331
2019-08,Barking and Dagenham,1549,218367,0.007093563
2019-09,Barking and Dagenham,1649,218367,0.007551507
2019-10,Barking and Dagenham,1793,218367,0.008210948
2019-11,Barking and Dagenham,1658,218367,0.007592722
2019-12,Barking and Dagenham,1655,218367,0.007578984
2020-01,Barking and Dagenham,1676,218367,0.007675152
2020-02,Barking and Dagenham,1582,218367,0.007244684
2020-03,Barking and Dagenham,1800,218367,0.008243004
2020-04,Barking and Dagenham,1272,218367,0.005825056
2020-05,Barking and Dagenham,1451,218367,0.006644777
2020-06,Barking and Dagenham,1626,218367,0.00744618
2020-07,Barking and Dagenham,1680,218367,0.00769347
2020-08,Barking and Dagenham,1631,218367,0.007469077
2020-09,Barking and Dagenham,1602,218367,0.007336273
2020-10,Barking and Dagenham,1699,218367,0.00778048
2020-11,Barking and Dagenham,1712,218367,0.007840012
2020-12,Barking and Dagenham,1480,218367,0.006777581
2021-01,Barking and Dagenham,1396,218367,0.006392907
2021-02,Barking and Dagenham,1437,218367,0.006580665
2019-03,Barnet,2844,407148,0.006985175
2019-04,Barnet,2551,407148,0.006265535
2019-05,Barnet,2563,407148,0.006295008
2019-06,Barnet,2736,407148,0.006719915
2019-07,Barnet,2829,407148,0.006948333
2019-08,Barnet,2424,407148,0.005953609
2019-09,Barnet,2618,407148,0.006430094
2019-10,Barnet,2632,407148,0.00646448
2019-11,Barnet,2832,407148,0.006955702
2019-12,Barnet,2604,407148,0.006395709
2020-01,Barnet,2647,407148,0.006501321
2020-02,Barnet,2592,407148,0.006366235
2020-03,Barnet,2299,407148,0.005646595
2020-04,Barnet,1659,407148,0.004074685
2020-05,Barnet,1988,407148,0.004882745
2020-06,Barnet,2102,407148,0.005162742
2020-07,Barnet,2382,407148,0.005850452
2020-08,Barnet,2378,407148,0.005840628
2020-09,Barnet,2307,407148,0.005666244
2020-10,Barnet,2460,407148,0.006042029
2020-11,Barnet,2394,407148,0.005879926
2020-12,Barnet,2154,407148,0.005290459
2021-01,Barnet,1836,407148,0.004509417
2021-02,Barnet,1881,407148,0.004619942
2019-03,Bexley,1437,254970,0.005635957
2019-04,Bexley,1488,254970,0.005835981
2019-05,Bexley,1606,254970,0.00629878
2019-06,Bexley,1475,254970,0.005784994
2019-07,Bexley,1536,254970,0.006024238
2019-08,Bexley,1534,254970,0.006016394
2019-09,Bexley,1493,254970,0.005855591
2019-10,Bexley,1674,254970,0.006565478
2019-11,Bexley,1536,254970,0.006024238
2019-12,Bexley,1405,254970,0.005510452
2020-01,Bexley,1624,254970,0.006369377
2020-02,Bexley,1463,254970,0.00573793
2020-03,Bexley,1284,254970,0.005035887
2020-04,Bexley,912,254970,0.003576891
2020-05,Bexley,1225,254970,0.004804487
2020-06,Bexley,1188,254970,0.004659372
2020-07,Bexley,1338,254970,0.005247676
2020-08,Bexley,1433,254970,0.005620269
2020-09,Bexley,1303,254970,0.005110405
2020-10,Bexley,1302,254970,0.005106483
2020-11,Bexley,1333,254970,0.005228066
2020-12,Bexley,1177,254970,0.004616229
2021-01,Bexley,1066,254970,0.004180884
2021-02,Bexley,1006,254970,0.003945562
2019-03,Brent,2671,343853,0.007767854
2019-04,Brent,2447,343853,0.007116413
2019-05,Brent,2574,343853,0.007485757
2019-06,Brent,2582,343853,0.007509023
2019-07,Brent,2680,343853,0.007794028
2019-08,Brent,2474,343853,0.007194935
2019-09,Brent,2568,343853,0.007468308
2019-10,Brent,2666,343853,0.007753313
2019-11,Brent,2509,343853,0.007296723
2019-12,Brent,2429,343853,0.007064065
2020-01,Brent,2517,343853,0.007319988
2020-02,Brent,2389,343853,0.006947736
2020-03,Brent,2274,343853,0.006613291
