date,Boroughname,Sumcrimes,population,sumcrimesperpop,areastr,logsumcrimeperpop
2019-03,Barking and Dagenham,1712,218367,0.007840012,East,0.342321763
2019-04,Barking and Dagenham,1681,218367,0.00769805,East,0.334385764
2019-05,Barking and Dagenham,1824,218367,0.00835291,East,0.369842838
2019-06,Barking and Dagenham,1687,218367,0.007725526,East,0.335933094
2019-07,Barking and Dagenham,1823,218367,0.008348331,East,0.369604696
2019-08,Barking and Dagenham,1549,218367,0.007093563,East,0.298869466
2019-09,Barking and Dagenham,1649,218367,0.007551507,East,0.326038665
2019-10,Barking and Dagenham,1793,218367,0.008210948,East,0.362398338
2019-11,Barking and Dagenham,1658,218367,0.007592722,East,0.328402535
2019-12,Barking and Dagenham,1655,218367,0.007578984,East,0.327616026
2020-01,Barking and Dagenham,1676,218367,0.007675152,East,0.333092021
2020-02,Barking and Dagenham,1582,218367,0.007244684,East,0.308024483
2020-03,Barking and Dagenham,1800,218367,0.008243004,East,0.364090547
2020-04,Barking and Dagenham,1272,218367,0.005825056,East,0.213305141
2020-05,Barking and Dagenham,1451,218367,0.006644777,East,0.270485447
2020-06,Barking and Dagenham,1626,218367,0.00744618,East,0.319938566
2020-07,Barking and Dagenham,1680,218367,0.00769347,East,0.334127301
2020-08,Barking and Dagenham,1631,218367,0.007469077,East,0.321271973
2020-09,Barking and Dagenham,1602,218367,0.007336273,East,0.31348052
2020-10,Barking and Dagenham,1699,218367,0.00778048,East,0.339011427
2020-11,Barking and Dagenham,1712,218367,0.007840012,East,0.342321763
2020-12,Barking and Dagenham,1480,218367,0.006777581,East,0.279079753
2021-01,Barking and Dagenham,1396,218367,0.006392907,East,0.253703423
2021-02,Barking and Dagenham,1437,218367,0.006580665,East,0.266274819
2019-03,Barnet,2844,407148,0.006985175,North,0.292182327
2019-04,Barnet,2551,407148,0.006265535,North,0.244963196
2019-05,Barnet,2563,407148,0.006295008,North,0.247001322
2019-06,Barnet,2736,407148,0.006719915,North,0.275368816
2019-07,Barnet,2829,407148,0.006948333,North,0.28988566
2019-08,Barnet,2424,407148,0.005953609,North,0.222785345
2019-09,Barnet,2618,407148,0.006430094,North,0.256222358
2019-10,Barnet,2632,407148,0.00646448,North,0.258538632
2019-11,Barnet,2832,407148,0.006955702,North,0.290346003
2019-12,Barnet,2604,407148,0.006395709,North,0.253893731
2020-01,Barnet,2647,407148,0.006501321,North,0.261006646
2020-02,Barnet,2592,407148,0.006366235,North,0.251887702
2020-03,Barnet,2299,407148,0.005646595,North,0.199791675
2020-04,Barnet,1659,407148,0.004074685,North,0.058099077
2020-05,Barnet,1988,407148,0.004882745,North,0.13666908
2020-06,Barnet,2102,407148,0.005162742,North,0.160885458
2020-07,Barnet,2382,407148,0.005850452,North,0.215194457
2020-08,Barnet,2378,407148,0.005840628,North,0.214464582
2020-09,Barnet,2307,407148,0.005666244,North,0.201300308
2020-10,Barnet,2460,407148,0.006042029,North,0.229187841
2020-11,Barnet,2394,407148,0.005879926,North,0.217376896
2020-12,Barnet,2154,407148,0.005290459,North,0.171498389
2021-01,Barnet,1836,407148,0.004509417,North,0.102125434
2021-02,Barnet,1881,407148,0.004619942,North,0.112641559
2019-03,Bexley,1437,254970,0.005635957,East,0.198972707
2019-04,Bexley,1488,254970,0.005835981,East,0.214118905
2019-05,Bexley,1606,254970,0.00629878,East,0.247261476
2019-06,Bexley,1475,254970,0.005784994,East,0.210307949
2019-07,Bexley,1536,254970,0.006024238,East,0.227907157
2019-08,Bexley,1534,254970,0.006016394,East,0.227341305
2019-09,Bexley,1493,254970,0.005855591,East,0.215575771
2019-10,Bexley,1674,254970,0.006565478,East,0.265271386
2019-11,Bexley,1536,254970,0.006024238,East,0.227907157
2019-12,Bexley,1405,254970,0.005510452,East,0.18919226
2020-01,Bexley,1624,254970,0.006369377,East,0.252101991
2020-02,Bexley,1463,254970,0.00573793,East,0.206760282
2020-03,Bexley,1284,254970,0.005035887,East,0.150081012
2020-04,Bexley,912,254970,0.003576891,East,0.001510742
2020-05,Bexley,1225,254970,0.004804487,East,0.129652059
2020-06,Bexley,1188,254970,0.004659372,East,0.116332422
2020-07,Bexley,1338,254970,0.005247676,East,0.167972049
2020-08,Bexley,1433,254970,0.005620269,East,0.197762138
2020-09,Bexley,1303,254970,0.005110405,East,0.156460355
2020-10,Bexley,1302,254970,0.005106483,East,0.156126926
2020-11,Bexley,1333,254970,0.005228066,East,0.166346098
2020-12,Bexley,1177,254970,0.004616229,East,0.112292381
2021-01,Bexley,1066,254970,0.004180884,East,0.069273154
2021-02,Bexley,1006,254970,0.003945562,East,0.044113908
2019-03,Brent,2671,343853,0.007767854,West,0.33830609
2019-04,Brent,2447,343853,0.007116413,West,0.30026618
2019-05,Brent,2574,343853,0.007485757,West,0.322240761
2019-06,Brent,2582,343853,0.007509023,West,0.323588471
2019-07,Brent,2680,343853,0.007794028,West,0.339766998
2019-08,Brent,2474,343853,0.007194935,West,0.305031911
2019-09,Brent,2568,343853,0.007468308,West,0.321227256
2019-10,Brent,2666,343853,0.007753313,West,0.337492353
2019-11,Brent,2509,343853,0.007296723,West,0.311132896
2019-12,Brent,2429,343853,0.007064065,West,0.297059723
2020-01,Brent,2517,343853,0.007319988,West,0.312515405
2020-02,Brent,2389,343853,0.006947736,West,0.289848344
2020-03,Brent,2274,343853,0.006613291,West,0.268422669
2020-04,Brent,2033,343853,0.00591241,West,0.219769579
2020-05,Brent,2255,343853,0.006558035,West,0.264778766
2020-06,Brent,2411,343853,0.007011717,West,0.293829415
2020-07,Brent,2599,343853,0.007558462,West,0.32643847
2020-08,Brent,2597,343853,0.007552646,West,0.326104165
2020-09,Brent,2477,343853,0.00720366,West,0.305558243
2020-10,Brent,2605,343853,0.007575912,West,0.327439957
2020-11,Brent,2309,343853,0.006715079,West,0.275056162
2020-12,Brent,2255,343853,0.006558035,West,0.264778766
2021-01,Brent,1916,343853,0.005572149,West,0.194027757
2021-02,Brent,2055,343853,0.005976391,West,0.224444039
2019-03,Bromley,2109,336395,0.006269415,South,0.245232055
2019-04,Bromley,1968,336395,0.005850265,South,0.215180575
2019-05,Bromley,2116,336395,0.006290224,South,0.246671147
2019-06,Bromley,2017,336395,0.005995927,South,0.225861373
2019-07,Bromley,2202,336395,0.006545876,South,0.26397281
2019-08,Bromley,2106,336395,0.006260497,South,0.244613848
2019-09,Bromley,2121,336395,0.006305088,South,0.247696188
2019-10,Bromley,2229,336395,0.006626139,South,0.269265578
2019-11,Bromley,2294,336395,0.006819364,South,0.281748909
2019-12,Bromley,2091,336395,0.006215907,South,0.241509544
2020-01,Bromley,2156,336395,0.006409132,South,0.254804252
2020-02,Bromley,2074,336395,0.006165371,South,0.237964251
2020-03,Bromley,1768,336395,0.005255726,South,0.168637752
2020-04,Bromley,1443,336395,0.0042896,South,0.080421833
2020-05,Bromley,1645,336395,0.004890085,South,0.137321444
2020-06,Bromley,1695,336395,0.005038719,South,0.150325175
2020-07,Bromley,1924,336395,0.005719467,South,0.205360595
2020-08,Bromley,1786,336395,0.005309235,South,0.173036985
2020-09,Bromley,1909,336395,0.005674876,South,0.201961412
2020-10,Bromley,2073,336395,0.006162398,South,0.23775478
2020-11,Bromley,1858,336395,0.005523269,South,0.190201231
2020-12,Bromley,1666,336395,0.004952511,South,0.142830485
